1,49,1,0x02
2,50,2,0x03
3,51,3,0x04
4,52,4,0x05
5,53,5,0x06
6,54,6,0x07
7,55,7,0x08
8,56,8,0x09
9,57,9,0x0A
0,48,0,0x0B
minus,189,-,0x0C
equal,187,=,0x0D
BackSpace,8,,0x0E
Tab,9,,0x0F
q,81,q,0x10
w,87,w,0x11
e,69,e,0x12
r,82,r,0x13
t,84,t,0x14
y,89,y,0x15
u,85,u,0x16
i,73,i,0x17
o,79,o,0x18
p,80,p,0x19
bracketleft,219,[,0x1A
bracketright,221,],0x1B
backslash,220,\,0x2B
a,65,A,0x1E
s,83,S,0x1F
d,68,D,0x20
f,70,F,0x21
g,71,G,0x22
h,72,H,0x23
j,74,J,0x24
k,75,K,0x25
l,76,L,0x26
semicolon,186,;,0x27
quoteright,222,',0x28
Return,13,,0x1C
Shift_L,16,,0x2A
z,90,Z,0x2C
x,88,X,0x2D
c,67,C,0x2E
v,86,V,0x2F
b,66,B,0x30
n,78,N,0x31
m,77,M,0x32
comma,188,,0x33
period,190,.,0x34
slash,191,/,0x35
Shift_R,16,,0x36
Control_L,17,,0x1D
Control_R,17,,0x9D
Prior,33,,0xC9
Next,34,,0xD1
Left,37,,0xCB
Up,38,,0xC8
Down,40,,0xD0
Right,39,,0xCD
space,32, ,0x39
